Date,Open,High,Low,Close,Volume,Adj Close
2014-07-17,67.95,68.00,67.30,67.50,7991000,65.89
2014-07-16,68.95,69.00,68.10,68.35,4990000,66.72
2014-07-15,68.95,69.05,68.75,68.95,3949000,67.31
2014-07-14,68.25,68.80,68.25,68.70,3069000,67.06
2014-07-11,68.35,68.70,68.15,68.30,7792000,66.67
2014-07-10,67.80,68.45,67.80,68.35,5618000,66.72
2014-07-09,67.65,67.85,67.50,67.85,3125000,66.23
2014-07-08,67.80,67.90,67.60,67.75,5499000,66.14
2014-07-07,67.50,67.70,67.30,67.60,5504000,65.99
2014-07-04,67.80,67.90,67.35,67.70,7063000,66.09
2014-07-03,67.10,67.80,66.90,67.70,8099000,66.09
2014-07-02,66.80,67.55,66.65,67.10,11627000,65.50
2014-07-01,65.95,66.75,65.85,66.55,9585000,64.96
2014-06-30,65.30,66.00,65.20,65.95,7569000,64.38
2014-06-27,65.35,65.35,64.50,65.35,9219000,63.79
2014-06-26,64.75,65.40,64.75,65.35,9201000,63.79
2014-06-25,64.65,64.80,64.60,64.65,7495000,63.11
2014-06-24,64.85,65.05,64.70,64.80,7955000,63.26
2014-06-23,64.80,65.00,64.60,64.70,13731000,63.16
2014-06-20,64.95,65.10,64.70,64.75,3542000,63.21
2014-06-19,64.65,65.05,64.55,64.95,9925000,63.40
2014-06-18,64.40,64.80,64.30,64.50,9523000,62.96
2014-06-17,63.90,64.45,63.85,64.35,3843000,62.82
2014-06-16,63.85,64.00,63.60,63.90,2582000,62.38
2014-06-13,63.90,63.90,63.70,63.85,3314000,62.33
2014-06-12,64.00,64.10,63.90,64.00,4496000,62.48
2014-06-11,64.20,64.25,64.05,64.15,5027000,62.62
2014-06-10,63.85,64.30,63.85,64.20,6833000,62.67
2014-06-09,63.60,63.85,63.60,63.80,3887000,62.28
2014-06-06,63.65,63.75,63.40,63.55,3478000,62.04
2014-06-05,63.30,63.40,63.10,63.40,1694000,61.89
2014-06-04,63.40,63.55,63.30,63.40,3385000,61.89
2014-06-03,63.15,63.45,62.80,63.15,5106000,61.65
2014-05-30,63.40,63.45,63.10,63.10,6686000,61.60
2014-05-29,63.70,63.70,63.40,63.40,9534000,61.89
2014-05-28,63.15,63.80,63.15,63.70,11632000,62.18
2014-05-27,63.05,63.20,62.95,63.10,8023000,61.60
2014-05-26,62.85,63.10,62.85,63.05,8636000,61.55
2014-05-23,62.85,62.90,62.65,62.75,13440000,61.25
2014-05-22,62.00,62.65,61.95,62.65,14651000,61.16
2014-05-21,62.00,62.20,61.75,61.80,6508000,60.33
2014-05-20,61.90,62.30,61.90,62.10,9938000,60.62
2014-05-19,61.85,62.00,61.80,61.85,7159000,60.38
2014-05-16,61.65,61.85,61.40,61.85,9113000,60.38
2014-05-15,61.75,61.85,61.55,61.75,8894000,60.28
2014-05-14,61.60,61.80,61.45,61.80,10731000,60.33
2014-05-13,61.60,61.75,61.35,61.45,5607000,59.99
2014-05-12,61.50,61.50,61.10,61.15,3929000,59.69
2014-05-09,61.70,61.85,61.45,61.45,3930000,59.99
2014-05-08,61.60,61.85,61.40,61.85,3805000,60.38
2014-05-07,61.50,61.60,61.20,61.40,7874000,59.94
2014-05-06,61.50,61.75,61.10,61.55,10308000,60.08
2014-05-05,61.55,61.60,61.00,61.20,6838000,59.74
2014-05-02,61.15,61.65,61.15,61.30,7623000,59.84
2014-04-30,61.40,61.45,60.80,61.00,5569000,59.55
2014-04-29,61.25,61.50,61.10,61.35,6500000,59.89
2014-04-28,60.30,61.50,60.30,61.25,8466000,59.79
2014-04-25,61.65,61.80,60.60,60.70,22883000,59.25
2014-04-24,61.70,61.80,61.60,61.75,4513000,60.28
2014-04-23,61.85,62.05,61.50,61.65,5477000,60.18
2014-04-22,61.55,61.95,61.55,61.75,9125000,60.28
2014-04-21,61.45,61.65,61.45,61.55,3394000,60.08
2014-04-18,61.75,61.90,61.50,61.55,7055000,60.08
2014-04-17,61.30,61.40,61.10,61.15,3526000,59.69
2014-04-16,61.35,61.50,61.10,61.30,7041000,59.84
2014-04-15,61.20,61.45,61.20,61.35,13882000,59.89
2014-04-14,61.10,61.20,60.90,61.05,13386000,59.60
2014-04-11,60.80,61.15,60.80,61.15,14992000,59.69
2014-04-10,61.25,61.30,60.90,61.20,13453000,59.74
2014-04-09,60.80,61.10,60.80,61.00,12051000,59.55
2014-04-08,60.45,60.90,60.45,60.80,13990000,59.35
2014-04-07,60.40,60.50,60.30,60.50,11366000,59.06
2014-04-03,60.80,60.95,60.65,60.65,12604000,59.20
2014-04-02,60.80,61.15,60.80,60.80,19084000,59.35
2014-04-01,60.25,60.60,60.20,60.60,28803000,59.16
2014-03-31,60.05,60.15,59.90,60.10,17122000,58.67
2014-03-28,59.85,60.10,59.80,59.90,20135000,58.47
2014-03-27,59.50,59.85,59.45,59.80,11221000,58.38
2014-03-26,59.45,59.70,59.35,59.70,9956000,58.28
2014-03-25,58.50,59.15,58.50,59.15,4869000,57.74
2014-03-24,58.45,58.65,58.25,58.65,11333000,57.25
2014-03-21,58.65,58.65,58.40,58.50,4128000,57.11
2014-03-20,58.70,58.70,58.30,58.50,18453000,57.11
2014-03-19,59.40,59.45,58.95,59.25,9829000,57.84
2014-03-18,59.40,59.50,59.20,59.40,14826000,57.98
2014-03-17,59.15,59.20,58.90,59.05,8939000,57.64
2014-03-14,59.15,59.30,59.10,59.15,13438000,57.74
2014-03-13,59.25,59.80,59.25,59.75,25655000,58.33
2014-03-12,58.85,59.00,58.75,58.80,2660000,57.40
2014-03-11,59.25,59.45,59.15,59.35,4947000,57.94
2014-03-10,59.30,59.40,58.95,59.05,7894000,57.64
2014-03-07,59.30,59.80,59.30,59.40,30371000,57.98
2014-03-06,58.35,59.20,58.35,59.15,26212000,57.74
